"filename", "language", "Markdown", "YAML", "Python", "JSON", "JSON with Comments", "HTML", "Java Properties", "PostCSS", "JavaScript", "TypeScript", "toml", "vue", "Batch", "Shell Script", "Java", "MS SQL", "comment", "blank", "total"
"/Users/eric/projects/lynxus/.claude/launch.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/eric/projects/lynxus/.claude/settings.local.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/eric/projects/lynxus/AGENTS.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/eric/projects/lynxus/README.md", "Markdown", 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 205
"/Users/eric/projects/lynxus/apps/agent-runtime/README.md", "Markdown", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 64
"/Users/eric/projects/lynxus/apps/agent-runtime/app/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/eric/projects/lynxus/apps/agent-runtime/app/main.py", "Python", 0, 0, 3203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 392, 3595
"/Users/eric/projects/lynxus/apps/agent-runtime/tests/test_internal_auth.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
"/Users/eric/projects/lynxus/apps/agent-runtime/tests/test_memory_prompt.py", "Python", 0, 0, 2402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 172, 2588
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/LynxusApiApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/adapters/ResourceAdapters.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 13, 123
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthConfigurationValidator.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 8, 83
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthModels.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 15, 97
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthProperties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthRedirectSupport.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 9, 84
"/Users/eric/projects/lynxus/apps/api/src/main/java/com/lynxus/platform/auth/AuthSecurityConfiguration.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 9, 105
